rank of	rank:80,80,;
retrieval presents	retrieval:39,;
rallying cry	rallying:70,;
via the	via:6,92,6,92,;
article we	article:95,95,;
landscapes each	landscapes:64,;
any established	any:47,;
1712 papers	1712:60,;
large subset	large:97,;
that indicate	that:109,;
the user	the:33,60,66,97,97,98,98,98,33,60,66,97,97,98,98,;
the effect	the:54,60,61,107,54,60,61,107,;
a classification	a:56,56,;
previously publish	previously:80,;
by classification	by:57,57,;
be conclude	be:99,;
tried in	tried:53,;
and analyzed	and:87,;
technological advance	technological:74,;
that use	that:79,102,79,102,;
a give	a:78,90,112,;
good suited	good:59,;
technology the	technology:100,100,;
standard for	standard:63,63,63,63,;
text from	text:36,;
they include	they:70,70,;
keywords were	keywords:107,;
account both	account:60,60,;
retrieval already	retrieval:72,72,;
these are	these:110,;
from libraries	from:100,;
present currently	present:94,94,;
be modify	be:56,;
dss is	dss:70,70,;
setting but	setting:107,107,;
with subscription	with:89,;
on data	on:85,85,101,;
in various	in:63,69,90,105,63,69,90,105,;
additional nonprofit	additional:74,74,;
the validity	the:105,105,;
word call	word:73,;
system syntactic	system:85,85,;
heterogenous online	heterogenous:99,99,;
their inability	their:95,;
keyword dictionaries	keyword:107,;
second third	second:82,82,;
analytic in	analytic:91,91,;
conit are	conit:98,;
be fairly	be:71,;
various environments	various:105,;
analysis control	analysis:44,44,;
sciences social	sciences:49,;
datum the	datum:87,;
other fields	other:48,;
knowledge be	knowledge:50,;
the physical	the:31,49,66,31,49,66,;
network structure	network:58,58,;
largely based	largely:101,;
environment examples	environment:94,;
machine which	machine:103,103,;
and assistance	and:108,108,;
illustrated in	illustrated:85,;
subsystems can	subsystems:81,;
record some	record:92,;
descriptions of	descriptions:46,46,;
are shown	are:102,;
systems field	systems:70,;
responses may	responses:98,;
beneficial various	beneficial:101,101,;
handle a	handle:81,;
search the	search:93,93,;
the relative	the:62,62,;
system consider	system:95,;
equipment use	equipment:43,;
have receive	have:82,;
purpose value	purpose:39,;
noun phrase	noun:77,77,;
retrieval processes	retrieval:101,101,;
combine concept	combine:90,;
other the	other:70,109,109,;
phase word	phase:67,;
document description	document:107,107,;
and concern	and:1,;
nodes this	nodes:90,;
problem which	problem:49,;
the capability	the:58,58,;
then normalize	then:77,;
experimental environment	experimental:84,84,;
initiate to	initiate:54,;
the model	the:65,65,;
advances and	advances:74,;
uses pattern	uses:67,;
be met	be:95,;
document similarity	document:111,111,;
to need	to:23,23,;
abstracts ca	abstracts:67,67,;
what possibility	what:6,9,;
and mark	and:90,90,;
job be	job:110,;
those that	those:61,;
reported and	reported:85,;
invert file	invert:77,;
set span	set:109,;
would provide	would:42,42,;
the records	the:97,;
hard forcing	hard:110,;
design phase	design:69,69,;
information is	information:106,;
information in	information:22,56,22,56,;
and improvements	and:93,;
to propose	to:85,85,;
indexing system	indexing:27,32,52,63,106,52,63,106,;
user specialty	user:88,88,;
one simple	one:106,106,;
searchonym which	searchonym:93,;
four author	four:91,;
path analytic	path:91,91,91,91,;
the large	the:58,58,;
author combine	author:90,;
diagnostic and	diagnostic:53,53,;
writers and	writers:91,;
only challenging	only:40,;
complexity investigations	complexity:98,;
experimental evaluation	experimental:102,102,;
match in	match:86,;
for chemical	for:18,18,;
translating of	translating:36,;
abilities of	abilities:59,;
weights that	weights:102,;
change the	change:39,39,;
ontario clustering	ontario:107,107,;
they distance	they:109,;
automated system	automated:53,;
million records	million:92,;
the evaluation	the:87,99,87,99,;
the occurrence	the:102,102,;
they to	they:39,;
spaces are	spaces:64,64,;
system feature	system:63,;
relational organization	relational:82,82,;
minicomputer facilitates	minicomputer:69,;
words used	words:110,;
investigation have	investigation:98,;
educational and	educational:24,24,;
on line	on:100,100,;
index words	index:38,;
algorithm is	algorithm:61,73,112,;
of analysis	of:44,107,109,44,109,;
lists that	lists:37,;
were able	were:99,;
from an	from:68,75,97,;
can machine	can:36,36,;
obtain from	obtain:111,;
be written	be:95,;
like inverted	like:77,;
testing automate	testing:20,;
finally experimental	finally:102,102,;
document analysis	document:43,43,;
with particular	with:76,76,;
binary code	binary:73,73,;
designing the	designing:63,;
of classical	of:62,62,;
paper include	paper:78,;
what use	what:51,51,;
for estimating	for:102,;
other architectures	other:83,;
two selector	two:72,;
automatically transform	automatically:4,;
displays overall	displays:69,;
origin of	origin:76,;
regard this	regard:90,;
component in	component:81,81,;
of arrange	of:41,;
resulting predictions	resulting:60,;
architecture describe	architecture:83,83,;
not distinct	not:75,75,;
using more	using:93,;
to those	to:61,;
dss as	dss:70,70,;
document distribution	document:83,83,83,83,;
well established	well:86,;
illustrated by	illustrated:85,;
the relation	the:90,;
tree connecting	tree:104,;
original paper	original:7,;
they use	they:16,;
the transformations	the:64,;
does it	does:8,47,52,;
dss be	dss:70,70,;
is suggested	is:61,73,84,;
publishing and	publishing:7,7,;
two ordered	two:60,;
of documents	of:60,67,68,71,84,96,106,107,;
regard it	regard:70,70,;
suggest how	suggest:88,88,;
build and	build:99,;
while a	while:63,63,;
analysis with	analysis:107,;
journal appear	journal:44,;
microfiche storage	microfiche:87,87,;
term display	term:69,;
such systems	such:62,97,;
what relation	what:52,52,;
handling a	handling:81,;
with which	with:90,90,;
the notion	the:62,78,82,90,62,78,82,90,;
different file	different:73,73,;
of analyses	of:107,;
improve instruction	improve:99,;
other sign	other:91,;
impracticality of	impracticality:107,107,;
operating environment	operating:63,;
paper discusses	paper:76,;
concern be	concern:1,;
word variants	word:67,;
pointer manipulation	pointer:101,;
a effect	a:54,;
reasonable recall	reasonable:77,77,;
movement bauer	movement:91,91,;
other languages	other:8,;
and micrographic	and:100,100,;
interface allow	interface:98,;
maximum design	maximum:79,79,;
into files	into:69,;
type study	type:99,;
information on	information:46,46,;
been constructed	been:71,;
large volume	large:17,17,;
translating in	translating:36,;
sharing with	sharing:76,76,;
techniques could	techniques:99,;
date word	date:38,38,;
forms as	forms:106,;
difference function	difference:86,86,;
utility weight	utility:102,;
language keyword	language:99,99,;
the reference	the:94,94,;
these and	these:83,;
great per	great:110,;
gathered leading	gathered:94,;
give methods	give:12,;
authors as	authors:109,109,109,;
reproducible measure	reproducible:59,;
explores the	explores:74,;
the document	the:67,67,67,68,68,68,71,71,83,93,102,107,107,107,111,111,112,67,68,71,71,83,107,107,112,;
system evaluation	system:59,59,;
where has	where:50,;
more services	more:66,;
databases and	databases:81,92,93,;
network three	network:66,;
the present	the:72,76,101,105,72,76,101,105,;
research show	research:50,;
abstract the	abstract:71,71,;
a description	a:94,94,;
environment example	environment:94,;
what studies	what:41,;
discipline be	discipline:48,48,;
indexing purposes	indexing:102,;
computers to	computers:40,;
information to	information:33,33,;
form therefrom	form:77,77,;
rally cry	rally:70,70,;
these methods	these:93,;
of multiple	of:99,99,;
way a	way:103,103,;
overall the	overall:60,69,60,69,;
retrieve on	retrieve:91,;
structure extend	structure:18,;
for verbal	for:6,6,;
of system	of:106,;
automate micrographic	automate:100,;
will ordinary	will:5,5,;
user applications	user:83,;
component of	component:52,76,;
results against	results:67,106,;
database contain	database:92,;
condition with	condition:99,;
is fairly	is:71,;
dictionary and	dictionary:67,107,67,;
system disoss	system:83,83,;
recently been	recently:68,;
and storage	and:76,76,;
queries for	queries:107,;
standard form	standard:77,77,;
it determine	it:75,;
to parse	to:75,75,;
be doubtful	be:93,;
specialist in	specialist:106,;
be compared	be:68,;
they do	they:83,83,;
that should	that:95,95,;
of keyword	of:107,107,;
answer paper	answer:72,72,;
to demonstrate	to:87,101,87,101,;
and compare	and:110,;
members of	members:90,;
than would	than:87,87,;
be this	be:50,52,;
article for	article:9,;
concept and	concept:69,;
conventional approach	conventional:68,;
peripherality of	peripherality:109,109,;
scisearch or	scisearch:91,91,;
scientists the	scientists:100,;
be know	be:59,;
what methods	what:18,;
measures the	measures:104,;
library group	library:74,;
retrieval are	retrieval:82,82,;
record and	record:46,;
architecture to	architecture:81,81,;
be seek	be:46,;
experimental usages	experimental:99,;
parse algorithm	parse:85,;
electronic mail	electronic:110,110,;
is given	is:76,90,101,;
be perform	be:108,;
nelinet incolsa	nelinet:66,66,;
presently best	presently:59,;
measure be	measure:59,84,84,86,;
translate computer	translate:98,;
great number	great:81,81,;
generate an	generate:97,;
to describe	to:110,110,;
and 67	and:67,72,67,72,;
information from	information:106,106,;
on which	on:85,85,;
weighting rule	weighting:95,95,;
text words	text:93,;
two million	two:44,44,;
written on	written:95,;
print formats	print:63,;
an earlier	an:93,;
generation of	generation:69,100,69,100,;
y a	y:80,80,;
the aim	the:55,86,86,;
and sequel	and:82,82,;
each arc	each:90,90,;
preliminary application	preliminary:59,59,;
activity in	activity:110,;
the researcher	the:15,15,;
understanding and	understanding:70,70,;
with a	with:77,86,97,100,77,86,97,100,;
be correctly	be:105,;
which concept	which:90,;
of machine	of:19,40,19,40,;
complex language	complex:78,78,;
index document	index:105,105,;
provide permute	provide:69,;
to look	to:98,98,;
recent development	recent:96,;
approximately the	approximately:104,104,;
described this	described:65,;
have become	have:70,70,70,;
occurrences and	occurrences:107,;
machine searching	machine:19,;
architectures as	architectures:83,;
and quickly	and:103,103,;
criterion be	criterion:105,;
they be	they:49,63,91,;
descriptive title	descriptive:1,;
is described	is:65,66,69,71,73,84,84,111,112,;
be compute	be:67,;
of person	of:39,;
of arranging	of:41,;
grammar and	grammar:78,78,;
other areas	other:109,;
being contemplated	being:54,;
algorithms are	algorithms:79,85,;
four be	four:91,;
acquisitions serial	acquisitions:46,;
weighting scheme	weighting:95,95,;
different span	different:104,104,;
they as	they:91,;
describe procedure	describe:112,;
searching use	searching:93,;
process produces	process:93,;
detail linguistic	detail:85,85,;
consists of	consists:93,;
research result	research:47,;
and term	and:102,102,;
and 10	and:72,72,;
because thesaurus	because:69,69,;
be relate	be:37,;
result against	result:67,106,;
at they	at:110,;
necessitate the	necessitate:49,;
further experiments	further:93,;
getting at	getting:38,;
experienced in	experienced:67,;
improvement be	improvement:93,;
information management	information:5,110,5,110,;
148 million	148:92,92,;
and test	and:99,;
and plants	and:110,;
an efficient	an:65,;
techniques what	techniques:49,;
are already	are:69,;
judge by	judge:60,;
agency and	agency:35,;
has led	has:58,74,;
to base	to:59,59,;
that user	that:99,;
algorithm be	algorithm:61,73,79,85,112,112,;
level of	level:110,110,;
article would	article:42,;
large number	large:103,;
systems the	systems:101,;
these measures	these:84,;
significantly better	significantly:106,;
then use	then:73,84,;
economic and	economic:74,74,;
relevance to	relevance:60,60,60,60,;
physical and	physical:49,66,49,66,;
general libraries	general:32,;
closer look	closer:110,;
tested under	tested:99,;
the add	the:107,;
transformed by	transformed:98,;
assistant technician	assistant:39,;
the finding	the:59,59,;
discrimination ability	discrimination:59,;
forms of	forms:72,;
social indicators	social:91,91,91,;
to record	to:79,;
may also	may:65,98,65,98,;
a table	a:106,106,;
the effectiveness	the:41,43,65,41,43,65,;
in certain	in:91,91,;
name conit	name:98,99,;
whether a	whether:105,;
catn be	catn:78,;
definitions where	definitions:3,;
between documents	between:65,68,;
form the	form:62,88,88,;
example performance	example:85,;
could further	could:99,99,;
measure in	measure:59,104,;
online library	online:66,66,;
testing automated	testing:20,;
and use	and:39,71,89,89,;
automation into	automation:54,54,;
from the	from:59,60,67,78,80,87,106,112,59,60,67,78,80,87,106,112,;
and recall	and:93,104,93,104,;
type datum	type:91,;
of select	of:85,;
phrase or	phrase:77,77,;
common use	common:106,106,;
previous experiments	previous:72,;
matching and	matching:19,18,19,;
procedure make	procedure:111,;
and evaluation	and:63,63,;
use author	use:109,;
nodes and	nodes:90,;
a block	a:73,73,;
operational interfaces	operational:99,;
contribute to	contribute:109,109,;
while search	while:108,;
is information	is:3,;
representation and	representation:85,106,85,106,;
1 it	1:89,89,;
have been	have:13,37,38,39,40,41,43,44,47,49,49,49,53,53,54,61,67,86,90,102,102,;
display and	display:63,63,;
of occurrence	of:67,67,;
the commercial	the:63,63,;
show the	show:82,107,;
address itself	address:108,108,;
variants such	variants:67,;
information problems	information:64,;
search term	search:104,104,104,;
observe datum	observe:80,;
level ensures	level:85,;
are surveyed	are:86,;
than system	than:70,70,;
the equipment	the:43,43,43,43,;
take into	take:60,;
or specific	or:63,63,;
method handle	method:79,;
productive for	productive:81,81,;
two different	two:72,73,72,73,;
effectiveness be	effectiveness:104,;
of 72	of:72,72,;
described that	described:101,;
specify query	specify:79,;
of matrix	of:93,;
of investment	of:110,110,;
advanced interfaces	advanced:99,;
dictionary have	dictionary:71,;
citation analysis	citation:90,90,;
cluster searches	cluster:65,65,;
text databases	text:106,;
document partly	document:71,71,;
in combination	in:72,72,;
embody in	embody:106,;
coordinate indexing	coordinate:51,51,;
is supported	is:85,;
regularly distribute	regularly:47,;
there has	there:97,;
washington library	washington:74,74,;
that mediate	that:58,58,;
with relation	with:71,71,;
reflect a	reflect:84,84,;
ratios of	ratios:59,72,;
the minicomputer	the:69,69,69,69,69,69,;
systems with	systems:97,;
developed and	developed:85,;
retrieval and	retrieval:8,13,15,72,8,13,15,72,;
on even	on:93,93,;
to make	to:98,98,;
purposes have	purposes:53,;
measure of	measure:60,90,90,105,90,90,105,;
gather lead	gather:94,;
of materials	of:76,;
indicator literature	indicator:91,;
and across	and:109,109,;
groupings of	groupings:67,67,;
promise direction	promise:85,;
countries are	countries:48,;
with retrieval	with:65,65,;
